"file","hasTargetsByPhase","token","status","missingKeys","metaNote"
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json","True","mid","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json","True","developer","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json","True","grower","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json","True","peak","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json","True","prelay","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\library.poultry_duck_meat.v1.json","True","prestarter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\library.poultry_duck_meat.v1.json","True","grower","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\library.poultry_duck_meat.v1.json","True","finisher","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\library.poultry_duck_meat.v1.json","True","withdrawal","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\library.poultry_duck_meat.v1.json","True","starter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\library.poultry_goose_breeder.v1.json","True","grower","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\library.poultry_goose_breeder.v1.json","True","finisher","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\library.poultry_goose_breeder.v1.json","True","withdrawal","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\library.poultry_goose_breeder.v1.json","True","starter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\library.poultry_goose_breeder.v1.json","True","peak","OK_KEYS_PRESENT","",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\layer\library.poultry_goose_layer.v1.json","True","grower","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\layer\library.poultry_goose_layer.v1.json","True","finisher","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\layer\library.poultry_goose_layer.v1.json","True","withdrawal","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\layer\library.poultry_goose_layer.v1.json","True","starter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\layer\library.poultry_goose_layer.v1.json","True","peak","OK_KEYS_PRESENT","",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\layer\library.poultry_goose_layer.v1.json","True","prelay","OK_KEYS_PRESENT","",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\layer\library.poultry_goose_layer.v1.json","True","early","OK_KEYS_PRESENT","",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\layer\library.poultry_goose_layer.v1.json","True","late","OK_KEYS_PRESENT","",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\meat\library.poultry_goose_meat.v1.json","True","grower","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\meat\library.poultry_goose_meat.v1.json","True","finisher","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\meat\library.poultry_goose_meat.v1.json","True","withdrawal","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\meat\library.poultry_goose_meat.v1.json","True","starter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\breeder\library.poultry_quail_breeder.v1.json","True","late","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\breeder\library.poultry_quail_breeder.v1.json","True","prebreed","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\breeder\library.poultry_quail_breeder.v1.json","True","postpeak","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\breeder\library.poultry_quail_breeder.v1.json","True","starter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\breeder\library.poultry_quail_breeder.v1.json","True","grower","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\breeder\library.poultry_quail_breeder.v1.json","True","peak","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\breeder\library.poultry_quail_breeder.v1.json","True","developer","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\layer\library.poultry_quail_layer.v1.json","True","late","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\layer\library.poultry_quail_layer.v1.json","True","early","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\layer\library.poultry_quail_layer.v1.json","True","starter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\layer\library.poultry_quail_layer.v1.json","True","mid","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\layer\library.poultry_quail_layer.v1.json","True","developer","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\layer\library.poultry_quail_layer.v1.json","True","grower","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\layer\library.poultry_quail_layer.v1.json","True","peak","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\layer\library.poultry_quail_layer.v1.json","True","prelay","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\meat\library.poultry_quail_meat.v1.json","True","prestarter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\meat\library.poultry_quail_meat.v1.json","True","grower","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\meat\library.poultry_quail_meat.v1.json","True","finisher","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\quail\meat\library.poultry_quail_meat.v1.json","True","starter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\breeder\library.poultry_turkey_breeder.v1.json","True","late","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\breeder\library.poultry_turkey_breeder.v1.json","True","prebreed","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\breeder\library.poultry_turkey_breeder.v1.json","True","postpeak","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\breeder\library.poultry_turkey_breeder.v1.json","True","starter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\breeder\library.poultry_turkey_breeder.v1.json","True","grower","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\breeder\library.poultry_turkey_breeder.v1.json","True","peak","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\breeder\library.poultry_turkey_breeder.v1.json","True","developer","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\layer\library.poultry_turkey_layer.v1.json","True","prelay","OK_KEYS_PRESENT","",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\layer\library.poultry_turkey_layer.v1.json","True","early","OK_KEYS_PRESENT","",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\layer\library.poultry_turkey_layer.v1.json","True","peak","OK_KEYS_PRESENT","",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\layer\library.poultry_turkey_layer.v1.json","True","late","OK_KEYS_PRESENT","",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\meat\library.poultry_turkey_meat.v1.json","True","grower1","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\meat\library.poultry_turkey_meat.v1.json","True","finisher1","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\meat\library.poultry_turkey_meat.v1.json","True","prestarter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\meat\library.poultry_turkey_meat.v1.json","True","finisher2","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\meat\library.poultry_turkey_meat.v1.json","True","starter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\meat\library.poultry_turkey_meat.v1.json","True","withdrawal","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\turkey\meat\library.poultry_turkey_meat.v1.json","True","grower2","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
